date,hospital_admission,alltest_performed,hospital_cases,all_positive_case,NHS111_call,stringency_index,stay_home_requirements,facial_coverings,apple_driving,apple_transit,apple_walking,vaccine_dose1,vaccine_dose2,vaccine_dose3
20-04-2020,1734,22763,19331,4676,8616,79.63,2,0,39.99,17.27,44.92,0,0,0
21-04-2020,1713,22763,19139,4301,7072,79.63,2,0,41.19,17.05,45.61,0,0,0
22-04-2020,1530,23073,18533,4451,6915,79.63,2,0,42.03,17.04,46.54,0,0,0
23-04-2020,1514,28024,17867,4583,6698,79.63,2,0,42.36,16.97,46.36,0,0,0
24-04-2020,1525,28225,17063,5386,6677,79.63,2,0,45.69,16.63,49.85,0,0,0
25-04-2020,1253,29058,16604,4913,7058,79.63,2,0,39.03,16.37,49.52,0,0,0
26-04-2020,1355,31610,16555,4463,6829,79.63,2,0,34.9,16.96,44.12,0,0,0
27-04-2020,1539,31453,16662,4310,7641,79.63,2,0,41.8,17.53,41.46,0,0,0
28-04-2020,1519,45263,15877,3996,7024,79.63,2,1,41.61,16.65,35.33,0,0,0
29-04-2020,1488,65643,15521,4076,7111,79.63,2,1,42.53,16.79,37.8,0,0,0
30-04-2020,1443,83143,15164,6032,7146,79.63,2,1,43.52,16.48,37.29,0,0,0
01-05-2020,1263,74142,14723,6201,6556,79.63,2,1,47.82,17.21,44.94,0,0,0
02-05-2020,1181,63559,14380,4806,7168,79.63,2,1,42.57,17.21,50.01,0,0,0
03-05-2020,1188,68203,14188,4339,7003,79.63,2,1,36.61,17.71,39.99,0,0,0
04-05-2020,1249,72630,14097,3985,7637,79.63,2,1,44.71,19.24,43.61,0,0,0
05-05-2020,1146,66919,13723,4406,6300,79.63,2,1,46.94,19.2,45.92,0,0,0
06-05-2020,1206,74455,13148,6111,5648,79.63,2,1,48.33,19.38,49.36,0,0,0
07-05-2020,1166,77466,12626,5614,5634,79.63,2,1,49.14,19.43,50.31,0,0,0
08-05-2020,910,76963,12053,4649,5464,79.63,2,1,44.14,19.1,53.26,0,0,0
09-05-2020,944,77152,12015,3896,5747,79.63,2,1,43.57,19.91,55.61,0,0,0
10-05-2020,916,76507,11727,3923,5520,79.63,2,1,38.3,19.04,38.68,0,0,0
11-05-2020,1029,70332,11967,3877,6551,77.78,2,1,38.3,19.04,38.68,0,0,0
12-05-2020,983,74593,11591,3403,5575,77.78,2,1,38.3,19.04,38.68,0,0,0
13-05-2020,967,83182,11342,3242,5337,71.3,1,1,55.21,21.85,50.92,0,0,0
14-05-2020,909,84693,10921,3446,4797,71.3,1,1,57.51,21.52,53.86,0,0,0
15-05-2020,871,91342,10691,3560,4719,71.3,1,1,62.85,22.2,60.28,0,0,0
16-05-2020,814,91360,10238,3451,5022,71.3,1,1,59.52,21.64,62.16,0,0,0
17-05-2020,793,81278,10199,3562,4785,71.3,1,1,54.31,22.73,54.38,0,0,0
18-05-2020,850,70074,10231,2684,5802,71.3,1,1,60.76,25.09,56.37,0,0,0
19-05-2020,881,86041,10013,2412,5032,71.3,1,1,64.52,25.44,61.57,0,0,0
20-05-2020,851,86634,9563,2472,3732,71.3,1,1,68.48,26.88,65.86,0,0,0
21-05-2020,843,105655,9293,2615,2679,71.3,1,1,67.05,25.97,61.35,0,0,0
22-05-2020,740,91196,9184,3287,2061,71.3,1,1,71.91,25.87,64.7,0,0,0
23-05-2020,643,91841,8814,2959,2323,71.3,1,1,65.31,24.61,60.98,0,0,0
